food_name,province,tp_group,kcal_group,kcal_100g,n_samples,std_kcal
Adana Yer Fıstığı,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kuytucak Narı,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Adana Kol Böreği,Adana,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Adana Analı Kızlı,Adana,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Adana Aşlama,Adana,Alkolsüz içecekler,soft içecekler,72.57142857142857,7,92.75569549962442
Adana Bici Bici,Adana,Dondurmalar ve yenilebilir buzlar,dondurmalar,145.5,2,43.1335136523794
Adana Halka Tatlısı,Adana,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Adana Karakuş Tatlısı,Adana,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Adana Karpuzu,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Adana Kebabı,Adana,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kozan Portakalı,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Pozantı Çileği,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Adana İçli Köfte,Adana,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Adana Şalgamı,Adana,Alkolsüz içecekler,soft içecekler,72.57142857142857,7,92.75569549962442
Adana Şırdan,Adana,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Tufanbeyli Kuru Fasulyesi,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Karaisalı Biberi,Adana,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Karataş Kıddesi,Adana,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Adana Taş Kadayıfı,Adana,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Adıyaman Besni Üzümü,Adıyaman,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Adıyaman Tut Dutu,Adıyaman,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kahta Bulgur Pilavı,Adıyaman,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Adıyaman Etsiz Çiğ Köfte,Adıyaman,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Kahta Narı,Adıyaman,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Kahta Bademli İrmik Helvası,Adıyaman,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kahta Bademi,Adıyaman,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Afyon Lokumu,Afyonkarahisar,"Çikolata, şekerleme ve türevi ürünler",çikolata/şeker,395.75,8,95.46839417165393
Afyon Manda Yoğurdu / Afyonkarahisar Manda Yoğurdu,Afyonkarahisar,Peynirler ve tereyağı dışında kalan süt ürünleri,süt ürünleri,398.0,3,269.56817319557587
Afyon Pastırması,Afyonkarahisar,İşlenmiş ve işlenmemiş et ürünleri,işlenmiş et,251.875,8,127.37283574496678
Afyon Patlıcan Böreği,Afyonkarahisar,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Afyon Sakala Çarpan Çorbası / Afyonkarahisar Sakala Çarpan Çorbası,Afyonkarahisar,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Afyon Sucuğu,Afyonkarahisar,İşlenmiş ve işlenmemiş et ürünleri,işlenmiş et,251.875,8,127.37283574496678
Afyon Tandır Çorbası / Afyonkarahisar Tandır Çorbası,Afyonkarahisar,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Afyon Velense Hamur Aşı / Afyonkarahisar Velense Hamur Aşı,Afyonkarahisar,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Afyon Ağzıaçığı,Afyonkarahisar,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Afyonkarahisar Ak Pide / Afyonkarahisar Tırnak Pidesi,Afyonkarahisar,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Afyonkarahisar Haşhaşlı Katmer,Afyonkarahisar,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Afyonkarahisar Hurma Baklavası / Afyon Hurma Baklavası,Afyonkarahisar,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Afyonkarahisar Mercimekli Pilav / Afyon Mercimekli Pilav,Afyonkarahisar,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
