Coğrafi İşaretin Adı;Ürün Grubu;İl
Adana Yer Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Kuytucak Narı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Adana Kol Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana
Adana Analı Kızlı;Yemekler ve çorbalar;Adana
Adana Aşlama;Alkolsüz içecekler;Adana
Adana Bici Bici;Dondurmalar ve yenilebilir buzlar;Adana
Adana Halka Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana
Adana Karakuş Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana
Adana Karpuzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Adana Kebabı;Yemekler ve çorbalar;Adana
Kozan Portakalı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Pozantı Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Adana İçli Köfte;Yemekler ve çorbalar;Adana
Adana Şalgamı;Alkolsüz içecekler;Adana
Adana Şırdan;Yemekler ve çorbalar;Adana
Tufanbeyli Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Karaisalı Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana
Karataş Kıddesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana
Adana Taş Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana
Adıyaman Besni Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman
Adıyaman Tut Dutu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman
Kahta Bulgur Pilavı;Yemekler ve çorbalar;Adıyaman
Adıyaman Etsiz Çiğ Köfte;Yemekler ve çorbalar;Adıyaman
Kahta Narı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman
Kahta Bademli İrmik Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adıyaman
Kahta Bademi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman
Afyon Lokumu;Çikolata, şekerleme ve türevi ürünler;Afyonkarahisar
Afyon Manda Yoğurdu / Afyonkarahisar Manda Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Afyonkarahisar
Afyon Pastırması;İşlenmiş ve işlenmemiş et ürünleri;Afyonkarahisar
Afyon Patlıcan Böreği;Yemekler ve çorbalar;Afyonkarahisar
Afyon Sakala Çarpan Çorbası / Afyonkarahisar Sakala Çarpan Çorbası;Yemekler ve çorbalar;Afyonkarahisar
Afyon Sucuğu;İşlenmiş ve işlenmemiş et ürünleri;Afyonkarahisar
Afyon Tandır Çorbası / Afyonkarahisar Tandır Çorbası;Yemekler ve çorbalar;Afyonkarahisar
Afyon Velense Hamur Aşı / Afyonkarahisar Velense Hamur Aşı;Yemekler ve çorbalar;Afyonkarahisar
Afyon Ağzıaçığı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar
Afyonkarahisar Ak Pide / Afyonkarahisar Tırnak Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar
Afyonkarahisar Haşhaşlı Katmer;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar
Afyonkarahisar Hurma Baklavası / Afyon Hurma Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar
Afyonkarahisar Mercimekli Pilav / Afyon Mercimekli Pilav;Yemekler ve çorbalar;Afyonkarahisar
Afyonkarahisar Nişan Kurabiyesi / Afyonkarahisar Gelin Kurabiyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar
