province,m_param,temp_annual_mean,prec_annual_total,temp_m01,temp_m02,temp_m03,temp_m04,temp_m05,temp_m06,temp_m07,temp_m08,temp_m09,temp_m10,temp_m11,temp_m12,prec_m01,prec_m02,prec_m03,prec_m04,prec_m05,prec_m06,prec_m07,prec_m08,prec_m09,prec_m10,prec_m11,prec_m12
Adana,ADANA,19.458333333333332,680.8000000000001,9.5,10.7,13.9,17.7,22.1,25.9,28.6,29.2,26.6,22.4,15.8,11.1,111.1,81.9,59.2,51.2,48.2,20.3,12.3,10.4,25.1,39.7,78.4,143.0
Adıyaman,ADIYAMAN,17.683333333333334,729.5,5.0,6.2,10.4,15.3,20.9,27.1,31.5,31.2,26.2,19.7,11.9,6.8,140.5,107.1,87.3,61.7,45.2,9.4,1.9,2.5,9.2,48.6,74.1,142.0
Afyonkarahisar,AFYONKARAHISAR,11.691666666666668,451.4,0.4,2.2,6.0,10.5,15.3,19.4,22.8,22.8,18.5,13.0,6.9,2.5,46.9,38.4,44.6,47.0,50.1,41.5,21.8,18.0,23.6,40.3,32.4,46.8
Aksaray,AKSARAY,12.775,349.4,0.9,2.6,7.1,11.9,16.7,21.0,24.5,24.4,19.8,14.2,7.4,2.8,41.7,32.2,39.7,40.4,43.1,24.7,8.2,6.2,12.4,25.9,30.1,44.8
Amasya,AMASYA,13.791666666666666,469.2,2.8,4.6,8.5,13.3,17.8,21.6,24.2,24.4,20.5,15.2,8.2,4.4,46.2,36.7,50.2,51.9,61.3,41.0,12.9,12.9,21.3,36.4,44.6,53.8
Ankara,ANKARA,12.583333333333334,413.6,0.9,2.7,6.7,11.5,16.5,20.6,24.2,24.3,19.6,13.9,7.3,2.8,38.6,36.6,46.9,44.5,51.0,40.2,14.8,14.6,17.9,33.4,31.9,43.2
Antalya,ANTALYA,18.983333333333334,1059.3999999999999,9.8,10.8,13.1,16.4,20.9,25.7,28.9,29.0,25.6,20.9,15.3,11.4,210.6,112.7,94.5,63.1,37.0,10.1,4.0,5.0,22.0,76.6,152.1,271.7
Ardahan,ARDAHAN,4.2749999999999995,600.4,-10.3,-9.1,-2.3,4.7,9.6,13.3,16.4,16.7,12.5,7.2,-0.1,-7.3,24.0,21.7,37.0,54.2,85.2,101.7,77.2,64.8,38.9,41.1,29.9,24.7
Artvin,ARTVIN,12.5,724.6,2.8,3.9,7.2,11.7,15.9,19.1,21.3,21.7,18.7,14.6,8.7,4.4,85.0,71.7,63.8,52.2,57.3,51.5,36.9,33.1,40.9,67.0,81.4,83.8
Aydın,AYDIN,18.05,653.5,8.2,9.5,12.3,16.1,21.2,26.2,28.7,28.3,24.0,19.1,13.5,9.5,111.3,87.4,70.8,53.4,43.8,14.3,6.0,6.1,18.4,45.2,86.5,110.3
Ağrı,AGRI,6.691666666666666,512.9,-10.0,-8.6,-1.7,6.7,11.9,16.9,21.3,21.8,16.7,9.8,1.5,-6.0,36.4,39.5,49.3,75.1,76.4,42.8,22.6,13.7,20.9,51.5,41.8,42.9
