Coğrafi İşaretin Adı,Ürün Grubu,İl,Kalori
Adana Halka Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Adana,320
Adana Karakuş Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Adana,294
Adana Kol Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Adana,226
Adana Taş Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Adana,361
Adapazarı Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Sakarya,290
Afyon Ağzıaçığı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,290
Afyon Bükmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,363
Afyon Kaymaklı Ekmek Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,330
Afyonkarahisar Ak Pide / Afyonkarahisar Tırnak Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,281
Afyonkarahisar Haşhaşlı Katmer,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,321
Afyonkarahisar Hurma Baklavası / Afyon Hurma Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,381
Afyonkarahisar Nişan Kurabiyesi / Afyonkarahisar Gelin Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,281
Afyonkarahisar Patatesli Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,309
Afyonkarahisar Övmesi / Afyon Övmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,223
Ahırlı Köpük Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,231
Aksaray Köpük Helva,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,277
Aksaray Tahinlisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,259
Aksaray Un Kurabiyesi / Aksaray Asker Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,312
Aksaray İnceelek Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,263
Aksaray Şeker Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,243
Aksaray Şerbetli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,358
Akyurt Tandır Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,291
Akçadağ Kömbesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,302
Akçakoca Mancarlı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Düzce,243
Akçakoca Melengücceği Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Düzce,278
Akşehir Peynir Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,404
Alaca Cızlağı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çorum,254
Alaca Yanıç Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çorum,215
Alaşehir Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Manisa,276
Alaşehir Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Manisa,288
Amasya Cevizli Ballı Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Amasya,376
Amasya Kaypağı/Amasya Piruhisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Amasya,374
Amasya Unutma Beni Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Amasya,299
Amasya Yanuç,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Amasya,257
Amasya Yağlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Amasya,333
Amasya Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Amasya,251
Ankara Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,308
Antakya Ekmek Oruğu / Antakya Fış Oruk,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,221
Antakya Künefesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,247
Antakya Sakal Kaldıran Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,308
Antakya Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,329
Antalya Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Antalya,307
Antalya Serpme Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Antalya,295
Antep Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,388
Antep Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,241
Antep Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,271
Antep Köy Kahkesi (Gaziantep Köy Kahkesi),"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,281
Antep Kübban Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,342
Antep Lahmacunu / Gaziantep Lahmacunu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,313
Antep Peynirli İrmik Helvası / Gaziantep Peynirli İrmik Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,229
Antep Tırnaklı Pidesi / Gaziantep Tırnaklı Pidesi / Antep Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,313
Arapgir Deli Kız Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,384
Arapgir Pestil Kavurması / Arapgir Bastık Kavurması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,273
Arapgir Peynirli Ekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,324
Araç Kül Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kastamonu,341
Arhavi Termonisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Artvin,337
Aydın Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,266
Ayvalık Lor Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Balıkesir,287
Ayvalık Sakızlı Kurabiye,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Balıkesir,313
Bafra Nokulu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Samsun,339
Bafra Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Samsun,281
Balıkesir Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Balıkesir,292
Balıkesir Kaymaklısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Balıkesir,255
Bartın Ağda Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,252
Bartın Beyaz Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,432
Bartın Gözlemesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,354
Bartın Kabak Burma Tatlısı / Bartın Kabak Burması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,297
Bartın Ramazan Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,340
Bartın Tatlı Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,214
Bartın Çöven Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,274
Bartın İncir Dondurma Tatlısı / Bartın İncir Donduması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bartın,314
Batman Şam Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Batman,261
Bayburt Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bayburt,298
Bayburt Süt Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bayburt,272
Bayburt Tatlı Çorba,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bayburt,195
Bayramiç Tahin Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çanakkale,333
Beydağ Simit Dürüm,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",İzmir,303
Beypazarı Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,288
Beypazarı Kurusu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,303
Biga Peynir Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çanakkale,320
Bilecik Nohutlu Mantı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bilecik,291
Bilecik Pazaryeri Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bilecik,314
Bolu Göynük Uğut Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,359
Bolu Kabaklı Gözlemesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,279
Bolu Patatesli Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,267
Bozdoğan Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,280
Brakana Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kırklareli,336
