kcal_group,n_samples,mean_kcal,median_kcal,std_kcal
alkoller,3,190.0,233.0,100.6429331846007
bal,2,326.0,326.0,1.4142135623730951
diğer,15,356.8,324.0,145.07791010350266
dondurmalar,2,145.5,145.5,43.1335136523794
hamurişi tatlı,19,299.6842105263158,286.0,88.39812254892882
işlenmiş et,8,251.875,251.0,127.37283574496678
peynir,7,341.85714285714283,334.0,44.149098033174546
sebze ve meyve,29,195.3793103448276,63.0,226.89006365467324
soft içecekler,7,72.57142857142857,44.0,92.75569549962442
süt ürünleri,3,398.0,520.0,269.56817319557587
tereyağı ve sıvıyağlar,2,807.0,807.0,131.52186130069785
yemekler ve çorbalar,17,211.11764705882354,181.0,101.90306812906884
yiyecekler için çeşni,9,211.66666666666666,289.0,142.38328553590833
çikolata/şeker,8,395.75,380.5,95.46839417165393
