province,food_name,product_group_tr,product_group_en,kcal_100g
Adana,Adana Halka Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",320
Adana,Adana Karakuş Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",294
Adana,Adana Kol Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",226
Adana,Adana Taş Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",361
Sakarya,Adapazarı Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",290
Afyonkarahisar,Afyon Ağzıaçığı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",290
Afyonkarahisar,Afyon Bükmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",363
Afyonkarahisar,Afyon Kaymaklı Ekmek Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",330
Afyonkarahisar,Afyonkarahisar Ak Pide / Afyonkarahisar Tırnak Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",281
Afyonkarahisar,Afyonkarahisar Haşhaşlı Katmer,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",321
Afyonkarahisar,Afyonkarahisar Hurma Baklavası / Afyon Hurma Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",381
Afyonkarahisar,Afyonkarahisar Nişan Kurabiyesi / Afyonkarahisar Gelin Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",281
Afyonkarahisar,Afyonkarahisar Patatesli Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",309
Afyonkarahisar,Afyonkarahisar Övmesi / Afyon Övmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",223
Konya,Ahırlı Köpük Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",231
Aksaray,Aksaray Köpük Helva,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",277
Aksaray,Aksaray Tahinlisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",259
Aksaray,Aksaray Un Kurabiyesi / Aksaray Asker Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",312
Aksaray,Aksaray İnceelek Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",263
Aksaray,Aksaray Şeker Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",243
Aksaray,Aksaray Şerbetli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",358
Ankara,Akyurt Tandır Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",291
Malatya,Akçadağ Kömbesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",302
Düzce,Akçakoca Mancarlı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",243
Düzce,Akçakoca Melengücceği Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",278
Konya,Akşehir Peynir Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",404
Çorum,Alaca Cızlağı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",254
Çorum,Alaca Yanıç Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",215
Manisa,Alaşehir Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",276
Manisa,Alaşehir Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",288
Amasya,Amasya Cevizli Ballı Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",376
Amasya,Amasya Kaypağı/Amasya Piruhisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",374
Amasya,Amasya Unutma Beni Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299
Amasya,Amasya Yanuç,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",257
Amasya,Amasya Yağlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",333
Amasya,Amasya Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",251
Ankara,Ankara Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",308
Hatay,Antakya Ekmek Oruğu / Antakya Fış Oruk,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",221
Hatay,Antakya Künefesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",247
Hatay,Antakya Sakal Kaldıran Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",308
Hatay,Antakya Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",329
Antalya,Antalya Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",307
Antalya,Antalya Serpme Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",295
Gaziantep,Antep Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",388
Gaziantep,Antep Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",241
Gaziantep,Antep Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",271
Gaziantep,Antep Köy Kahkesi (Gaziantep Köy Kahkesi),"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",281
Gaziantep,Antep Kübban Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",342
Gaziantep,Antep Lahmacunu / Gaziantep Lahmacunu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",313
Gaziantep,Antep Peynirli İrmik Helvası / Gaziantep Peynirli İrmik Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",229
Gaziantep,Antep Tırnaklı Pidesi / Gaziantep Tırnaklı Pidesi / Antep Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",313
Malatya,Arapgir Deli Kız Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",384
Malatya,Arapgir Pestil Kavurması / Arapgir Bastık Kavurması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",273
Malatya,Arapgir Peynirli Ekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",324
Kastamonu,Araç Kül Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",341
Artvin,Arhavi Termonisi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",337
Aydın,Aydın Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",266
Balıkesir,Ayvalık Lor Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",287
Balıkesir,Ayvalık Sakızlı Kurabiye,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",313
Samsun,Bafra Nokulu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",339
Samsun,Bafra Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",281
Balıkesir,Balıkesir Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",292
Balıkesir,Balıkesir Kaymaklısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",255
Bartın,Bartın Ağda Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",252
Bartın,Bartın Beyaz Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",432
Bartın,Bartın Gözlemesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",354
Bartın,Bartın Kabak Burma Tatlısı / Bartın Kabak Burması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",297
Bartın,Bartın Ramazan Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",340
Bartın,Bartın Tatlı Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",214
Bartın,Bartın Çöven Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",274
Bartın,Bartın İncir Dondurma Tatlısı / Bartın İncir Donduması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",314
Batman,Batman Şam Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",261
Bayburt,Bayburt Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",298
Bayburt,Bayburt Süt Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",272
Bayburt,Bayburt Tatlı Çorba,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",195
Çanakkale,Bayramiç Tahin Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",333
İzmir,Beydağ Simit Dürüm,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",303
Ankara,Beypazarı Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",288
Ankara,Beypazarı Kurusu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",303
Çanakkale,Biga Peynir Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",320
Bilecik,Bilecik Nohutlu Mantı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",291
Bilecik,Bilecik Pazaryeri Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",314
Bolu,Bolu Göynük Uğut Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",359
Bolu,Bolu Kabaklı Gözlemesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",279
Bolu,Bolu Patatesli Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",267
Aydın,Bozdoğan Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",280
Kırklareli,Brakana Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",336
Burdur,Burdur Kabak Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",313
Amasya,Burmalı Amasya Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",278
Bursa,Bursa Cantık,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",320
Bursa,Bursa Cevizli Lokum,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",304
Bursa,Bursa Süt Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",338
Bursa,Bursa Tahinli Pide,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",272
Kilis,Cennet Çamuru / Kilis Kaymaklı Kırma Künefe,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",287
Kastamonu,Cide Ceviz Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",284
Konya,Cihanbeyli Gömeç Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",241
Şırnak,Cizre Bırınczer,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",312
Şırnak,Cizre Luzine Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",310
Şırnak,Cizre Memilheva Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",300
Kastamonu,Daday Etli Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",290
Rize,Derepazarı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",243
Edirne,Deva-i Misk Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",283
Zonguldak,Devrek Beyaz Baklavası / Devrek Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",386
Zonguldak,Devrek Kömeci/Devrek Cevizli Kömeci,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",268
Kastamonu,Devrekani Cırık Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",293
Diyarbakır,Diyarbakır Armut Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",316
