province,food_name,product_group_tr,product_group_en,kcal_100g
Adana,Adana Yer Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Kuytucak Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Adana Kol Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Adana,Adana Analı Kızlı,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Adana,Adana Aşlama,Alkolsüz içecekler,Non-alcoholic beverages,72.57142857142857
Adana,Adana Bici Bici,Dondurmalar ve yenilebilir buzlar,Ice cream & edible ice,145.5
Adana,Adana Halka Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Adana,Adana Karakuş Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Adana,Adana Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Adana Kebabı,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Adana,Kozan Portakalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Pozantı Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Adana İçli Köfte,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Adana,Adana Şalgamı,Alkolsüz içecekler,Non-alcoholic beverages,72.57142857142857
Adana,Adana Şırdan,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Adana,Tufanbeyli Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Karaisalı Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adana,Karataş Kıddesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Adana,Adana Taş Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Adıyaman,Adıyaman Besni Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adıyaman,Adıyaman Tut Dutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adıyaman,Kahta Bulgur Pilavı,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Adıyaman,Adıyaman Etsiz Çiğ Köfte,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Adıyaman,Kahta Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Adıyaman,Kahta Bademli İrmik Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Adıyaman,Kahta Bademi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Afyonkarahisar,Afyon Lokumu,"Çikolata, şekerleme ve türevi ürünler",Chocolate & confectionery,395.75
