Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Acıpayam Kavunu;C2022/000406;16.11.2022;1780;29.09.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli;Acıpayam Kaymakamlığı;Tescilli
Adana Analı Kızlı;C2019/188;14.11.2019;576;26.10.2020;Mahreç İşareti;Yemekler ve çorbalar;Adana;Adana Ticaret Odası;Tescilli
Adana Aşlama;C2019/185;14.11.2019;574;26.10.2020;Mahreç İşareti;Alkolsüz içecekler;Adana;Adana Ticaret Odası;Tescilli
Adana Bici Bici;C2019/186;14.11.2019;537;17.09.2020;Mahreç İşareti;Dondurmalar ve yenilebilir buzlar;Adana;Adana Ticaret Odası;Tescilli
Adana Halka Tatlısı;C2019/184;14.11.2019;555;5.10.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana;Adana Ticaret Odası;Tescilli
Adana Karakuş Tatlısı;C2019/183;14.11.2019;646;11.01.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana;Adana Ticaret Odası;Tescilli
Adana Karpuzu;C2017/057;12.06.2017;512;28.07.2020;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana;Yüreğir Ziraat Odası;Tescilli
Adana Kebabı;C2003/022;15.08.2003;65;8.02.2005;Mahreç İşareti;Yemekler ve çorbalar;Adana;Adana Ticaret Odası;Tescilli
Adana Kol Böreği;C2019/076;1.07.2019;558;6.10.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana;Adana Lokantacılar ve Kebapçılar Esnaf Odası;Tescilli
Adana Taş Kadayıfı;C2019/190;14.11.2019;642;6.01.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana;Adana Ticaret Odası;Tescilli
Adana Yer Fıstığı;C2021/000086;28.02.2021;1505;24.11.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adana;Ceyhan Ticaret Borsası;Tescilli
Adana İçli Köfte;C2019/187;14.11.2019;551;28.09.2020;Mahreç İşareti;Yemekler ve çorbalar;Adana;Adana Ticaret Odası;Tescilli
Adana Şalgamı;C2015/002;12.12.2014;489;6.03.2020;Mahreç İşareti;Alkolsüz içecekler;Adana;Adana Ticaret Odası;Tescilli
Adana Şalvarı;C2021/000327;25.08.2021;1576;17.04.2024;Mahreç İşareti;Diğer ürünler;Adana;Yüreğir Ziraat Odası;Tescilli
Adana Şırdan;C2019/189;14.11.2019;575;26.10.2020;Mahreç İşareti;Yemekler ve çorbalar;Adana;Adana Ticaret Odası;Tescilli
Adapazarı Beyaz Kestane Kabağı;C2017/015;20.03.2017;501;26.06.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya;Sakarya Ticaret Borsası;Tescilli
Adapazarı Dartılı Keşkek;C2009/037;26.10.2009;168;8.01.2013;Mahreç İşareti;Yemekler ve çorbalar;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Adapazarı Islama Köftesi;C2009/036;26.10.2009;167;8.01.2013;Mahreç İşareti;Yemekler ve çorbalar;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Adapazarı Kabak Tatlısı;C2020/166;2.07.2020;747;3.05.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sakarya;Sakarya Ticaret ve Sanayi Odası;Tescilli
Adilcevaz Bastonu;C2018/110;20.04.2018;428;22.04.2019;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Bitlis;Adilcevaz İlçesi Köylere Hizmet Götürme Birliği;Tescilli
Adıyaman Besni Üzümü;C2017/123;18.08.2017;357;8.06.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman;Besni Belediyesi;Tescilli
Adıyaman Etsiz Çiğ Köfte;C2015/011;9.02.2015;366;12.07.2018;Mahreç İşareti;Yemekler ve çorbalar;Adıyaman;Adıyaman Ticaret ve Sanayi Odası;Tescilli
Adıyaman Tut Dutu;C2019/129;18.09.2019;612;30.11.2020;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman;Tut İlçe Tarım ve Orman Müdürlüğü;Tescilli
Afyon Ağzıaçığı;C2020/131;11.06.2020;740;29.04.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Bükmesi;C2020/130;11.06.2020;741;29.04.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Dana Tandır / Afyonkarahisar Dana Tandır;C2023/000099;9.03.2023;1736;7.05.2025;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Kaymaklı Ekmek Kadayıfı;C2017/117;15.08.2017;473;11.12.2019;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Kaymağı;C2003/030;31.12.2003;115;10.07.2009;Menşe Adı;Peynirler ve tereyağı dışında kalan süt ürünleri;Afyonkarahisar;Afyon Ticaret Odası;Tescilli
Afyon Kebabı;C2020/128;10.06.2020;738;29.04.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Keçesi;C2021/000287;16.07.2021;1175;25.07.2022;Mahreç İşareti;Dokumalar;Afyonkarahisar;Afyonkarahisar Ticaret ve Sanayi Odası;Tescilli
Afyon Lokumu;C2017/082;7.08.2017;655;25.01.2021;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Manda Yoğurdu / Afyonkarahisar Manda Yoğurdu;C2019/083;16.07.2019;808;27.07.2021;Menşe Adı;Peynirler ve tereyağı dışında kalan süt ürünleri;Afyonkarahisar;Afyonkarahisar Ticaret ve Sanayi Odası;Tescilli
Afyon Mermeri;C2003/032;31.12.2003;114;10.07.2009;Menşe Adı;Diğer ürünler;Afyonkarahisar;Afyon Ticaret Odası;Tescilli
Afyon Pastırması;C2003/028;31.12.2003;73;2.08.2005;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Afyonkarahisar;Afyonkarahisar Ticaret ve Sanayi Odası;Tescilli
Afyon Patlıcan Böreği;C2020/129;11.06.2020;739;29.04.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Sakala Çarpan Çorbası / Afyonkarahisar Sakala Çarpan Çorbası;C2023/000104;13.03.2023;1740;9.05.2025;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Sucuğu;C2003/027;31.12.2003;74;2.08.2005;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Afyonkarahisar;Afyonkarahisar Ticaret ve Sanayi Odası;Tescilli
Afyon Tandır Çorbası / Afyonkarahisar Tandır Çorbası;C2023/000100;9.03.2023;1737;7.05.2025;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon Velense Hamur Aşı / Afyonkarahisar Velense Hamur Aşı;C2020/125;9.06.2020;737;29.04.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyon İlibada Sarması/Afyon İlibada Dolması/Afyonkarahisar İlibada Sarması/Afyonkarahisar İlibada Dolması;C2020/126;9.06.2020;689;10.03.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Ak Pide / Afyonkarahisar Tırnak Pidesi;C2021/000246;19.06.2021;1265;30.11.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Göce Köftesi / Afyon Göce Köftesi;C2020/124;9.06.2020;949;15.11.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Haşhaş Ezmesi;C2018/014;10.01.2018;1522;19.01.2024;Mahreç İşareti;Diğer ürünler;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Haşhaşlı Katmer;C2021/000247;19.06.2021;1267;1.12.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Hurma Baklavası / Afyon Hurma Baklavası;C2021/000249;19.06.2021;1122;23.05.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Mercimekli Pilav / Afyon Mercimekli Pilav;C2021/000251;19.06.2021;1120;23.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
Afyonkarahisar Nişan Kurabiyesi / Afyonkarahisar Gelin Kurabiyesi;C2021/000248;19.06.2021;1349;1.05.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Afyonkarahisar Belediyesi;Tescilli
